math_names,url,wiki_page
Brahmagupta,https://en.wikipedia.org/wiki/Brahmagupta,Brahmagupta
Augustin Cauchy,https://en.wikipedia.org/wiki/Augustin-Louis_Cauchy,Augustin-Louis_Cauchy
Arthur Cayley,https://en.wikipedia.org/wiki/Arthur_Cayley,Arthur_Cayley
Emmy Noether,https://en.wikipedia.org/wiki/Emmy_Noether,Emmy_Noether
Pythagoras  of Samos,https://en.wikipedia.org/wiki/Pythagoras,Pythagoras
Aryabhata,https://en.wikipedia.org/wiki/Aryabhata,Aryabhata
Leonardo Fibonacci,https://en.wikipedia.org/wiki/Fibonacci,Fibonacci
William R. Hamilton,https://en.wikipedia.org/wiki/William_Rowan_Hamilton,William_Rowan_Hamilton
Apollonius  of Perga,https://en.wikipedia.org/wiki/Apollonius_of_Perga,Apollonius_of_Perga
Charles Hermite,https://en.wikipedia.org/wiki/Charles_Hermite,Charles_Hermite
